breed,temper,popularity,height,weight,life_min,size,life_max,GROOMING - Grooming Frequency (%),GROOMING - Shedding (%),EXERCISE - Energy Level (%),TRAINING - Trainability (%),TRAINING - Temperament/Demeanor (%)
Basset Hound,"Charming, Patient, Low-Key",39,up to 15 inches,40-65 pounds,12,M,13,60%,40%,20%,40%,80%
Bavarian Mountain Scent Hound,"Loyal, Versatile, Reserved with Strangers",-,17-20.5 inches,37-66 pounds,12,M,15,40%,80%,60%,60%,40%
Beagle,"Friendly, Curious, Merry",5,"13 inches & under, 13-15 inches","under 20 pounds (13 inches & under), 20-30 pounds (13-15 inches)",10,S,15,60%,60%,80%,60%,80%
Bearded Collie,"Smart, Bouncy, Charismatic",126,"21-22 inches (male), 20-21 inches (female)",45-55 pounds,12,M,14,80%,60%,60%,40%,100%
Beauceron,"Gentle, Faithful, Obedient",140,"25.5-27.5 inches (male), 24-26.5 inches (female)",70-110 pounds,10,L,12,60%,100%,100%,80%,40%
Bedlington Terrier,"Loyal, Charming, Frollicking",138,15-17.5 inches,17-23 pounds,11,S,16,60%,,80%,60%,60%
Belgian Laekenois,"Affectionate, Alert, Intelligent",-,"24-26 inches (male), 22-24 inches (female)",55-65 pounds,10,L,12,40%,,80%,80%,40%
Belgian Malinois,"Confident, Smart, Hardworking",47,"24-26 inches (male), 22-24 inches (female)","60-80 pounds (male), 40-60 pounds (female)",14,L,16,40%,60%,80%,80%,40%
Belgian Sheepdog,"Bright, Watchful, Serious-Minded",129,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12,L,14,60%,60%,80%,80%,40%
Belgian Tervuren,"Courageous, Alert, Intelligent",107,"24-26 inches (male), 22-24 inches (female)","55-75 pounds (male), 45-60 pounds (female)",12,L,14,60%,60%,80%,80%,40%
Bergamasco Sheepdog,"Independent, Sociable, Intelligent",184,"23.5 inches (male), 22 inches (female)","70-84 pounds (male), 57-71 pounds (female)",13,L,15,,,,,
Berger Picard,"Loyal, Good-Natured, Observant",141,"23.5-25.5 inches (male), 21.5-23.5 inches (female)",50-70 pounds,12,L,13,,,,,
Bernese Mountain Dog,"Good-Natured, Calm, Strong",27,"25-27.5 inches (male), 23-26 inches (female)","80-115 pounds (male), 70-95 pounds (female)",7,L,10,60%,100%,80%,80%,40%
Bichon Frise,"Playful, Curious, Peppy",45,9.5-11.5 inches,12-18 pounds,14,S,15,100%,20%,60%,60%,100%
Biewer Terrier,"Intelligent, Devoted, Amusing",-,7-11 inches,4-8 pounds,16,S,-,60%,,40%,100%,100%
Black and Tan Coonhound,"Easy-Going, Bright, Brave",128,"25-27 inches (male), 23-25 inches (female)",65-110 pounds,10,L,12,40%,60%,60%,40%,80%
Black Russian Terrier,"Intelligent, Calm, Powerful",119,"27-30 inches (male), 26-29 inches (female)",80-130 pounds,10,L,12,80%,60%,80%,80%,40%
Bloodhound,"Friendly, Independent, Inquisitive",52,"25-27 inches (male), 23-25 inches (female)","90-110 pounds (male), 80-100 pounds (female)",10,L,12,40%,60%,60%,40%,60%
Bluetick Coonhound,"Smart, Devoted, Tenacious",121,"22-27 inches (male), 21-25 inches (female)","55-80 pounds (male), 45-65 pounds (female)",11,L,12,40%,60%,80%,60%,80%
Boerboel,"Confident, Intelligent, Calm",131,"24-27 inches (male), 22-25 inches (female)",150-200 pounds,9,L,11,,,,,
Bolognese,"Playful, Easy-Going, Devoted",-,10-12 inches,5.5-9 pounds,12,S,14,60%,20%,40%,60%,80%
Border Collie,"Affectionate, Smart, Energetic",38,"19-22 inches (male), 18-21 inches (female)",30-55 pounds,12,M,15,60%,60%,100%,100%,40%
Border Terrier,"Affectionate, Happy, Plucky",86,12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12,S,15,40%,40%,60%,80%,80%
Borzoi,"Affectionate, Loyal, Regally Dignified",98,"28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9,L,14,40%,60%,80%,40%,60%
Boston Terrier,"Friendly, Bright, Amusing",21,15-17 inches,12-25 pounds,11,S,13,40%,20%,60%,100%,100%
Bouvier des Flandres,"Affectionate, Courageous, Strong-Willed",83,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10,L,12,80%,60%,80%,60%,60%
Boxer,"Bright, Fun-Loving, Active",10,"23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10,L,12,40%,40%,80%,80%,100%
Boykin Spaniel,"Friendly, Eager, Lovable",110,"15.5-18 inches (male), 14-16.5 inches (female)","30-40 pounds (male), 25-35 pounds (female)",10,M,15,60%,60%,60%,100%,60%
Bracco Italiano,"Affectionate, Intelligent, Enthusiastic",-,21-27 inches,55-90 pounds,10,L,14,20%,40%,80%,80%,60%
Braque du Bourbonnais,"Affectionate, Adaptable, Gentle",-,19-22.5 inches,35-53 pounds,10,M,12,20%,,60%,100%,60%
Braque Francais Pyrenean,"Friendly, Smart, Willing to Please",-,18.5-23 inches,40-55 pounds,,M,,20%,60%,100%,,
Briard,"Confident, Smart, Faithful",132,"23-27 inches (male), 22-25.5 inches (female)",55-100 pounds,12,L,-,80%,20%,60%,40%,40%
Brittany,"Bright, Fun-Loving, Upbeat",25,17.5-20.5 inches,30-40 pounds,12,M,14,60%,60%,100%,100%,80%
Broholmer,"Friendly, Watchful, Loving",-,27.5-29.5 inches,90-150 pounds,8,L,10,20%,60%,40%,,
Brussels Griffon,"Loyal, Alert, Curious",97,7-10 inches,8-10 pounds,12,S,15,60%,60%,60%,60%,80%
Bull Terrier,"Playful, Charming, Mischievous",57,21-22 inches,50-70 pounds,12,M,13,40%,60%,80%,40%,80%
Bulldog,"Friendly, Courageous, Calm",4,14-15 inches,"50 pounds (male), 40 pounds (female)",8,M,10,60%,80%,60%,60%,80%
Bullmastiff,"Affectionate, Loyal, Brave",48,"25-27 inches (male), 24-26 inches (female)","110-130 pounds (male), 100-120 pounds (female)",7,L,9,20%,60%,80%,60%,60%
Cairn Terrier,"Alert, Cheerful, Busy",70,"10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13,S,15,40%,40%,60%,60%,80%
Canaan Dog,"Confident, Alert, Vigilant",181,"20-24 inches (male), 19-23 inches (female)","45-55 pounds (male), 35-45 pounds (female)",12,M,15,40%,100%,60%,40%,40%
Cane Corso,"Affectionate, Intelligent, Majestic",40,"25-27.5 inches (male), 23.5-26 inches (female)",88-110 pounds,9,L,12,20%,40%,80%,60%,60%
Cardigan Welsh Corgi,"Affectionate, Loyal, Smart",69,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12,M,15,40%,60%,80%,60%,60%
Carolina Dog,"Loyal, Independent, Reserved with Strangers",-,17.75-19.5 inches,30-55 pounds,,M,,20%,60%,60%,100%,60%
Catahoula Leopard Dog,"Loyal, Independent, Watchful",-,22-24 inches,50-95 pounds,10,L,14,,,100%,40%,40%
Caucasian Shepherd Dog,"Fearless, Bold, Kind",-,23-30 inches,99-170 pounds,10,L,12,60%,80%,40%,40%,20%
Cavalier King Charles Spaniel,"Affectionate, Gentle, Graceful",19,12-13 inches,13-18 pounds,12,S,15,40%,40%,40%,100%,80%
Central Asian Shepherd Dog,"Independent, Courageous, Self-Confident",-,Minimum: 25.5-27.5 inches,Minimum: 88-110 pounds,-,L,-,20%,60%,40%,40%,20%
Cesky Terrier,"Clever, Adventurous, Family-Oriented",182,10-13 inches,14-24 pounds,12,S,15,40%,40%,60%,60%,40%
Chesapeake Bay Retriever,"Affectionate, Bright, Sensitive",43,"23-26 inches (male), 21-24 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10,L,13,60%,80%,80%,60%,40%
Chihuahua,"Charming, Graceful, Sassy",30,5-8 inches,not exceeding 6 pounds,14,S,16,20%,40%,60%,40%,60%
Chinese Crested,"Affectionate, Alert, Lively",77,11-13 inches,8-12 pounds,13,S,18,20%,20%,60%,60%,80%
Chinese Shar-Pei,"Loyal, Independent, Calm",61,18-20 inches,45-60 pounds,8,M,12,20%,80%,60%,20%,40%
Chinook,"Smart, Patient, Devoted",175,"24-26 inches (male), 22-24 inches (female)","55-90 pounds (male), 50-65 pounds (female)",12,L,15,60%,60%,60%,100%,80%
Chow Chow,"Dignified, Bright, Serious-Minded",74,17-20 inches,45-70 pounds,8,M,12,60%,60%,60%,20%,40%
Cirneco dell?섷tna,"Active, Proud, Very Smart",7,"10-15 inches (miniature), over 15 inches (standard)","10-15 pounds (miniature), 60-70 pounds (male standard), 40-50 pounds (female standard)",10,S,18,,,,,
Clumber Spaniel,"Mellow, Amusing, Gentlemanly",144,"18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10,L,12,40%,80%,60%,60%,40%
Cocker Spaniel,"Gentle, Smart, Happy",29,"14.5-15.5 inches (male), 13.5-14.5 inches (female)","25-30 pounds (male), 20-25 pounds (female)",10,M,14,80%,40%,60%,100%,100%
Collie,"Devoted, Graceful, Proud",37,"24-26 inches (male), 22-24 inches (female)","60-75 pounds (male), 50-65 pounds (female)",12,L,14,60%,60%,60%,80%,80%
Coton de Tulear,"Charming, Bright, Happy-Go-Lucky",80,"10-11 inches (male), 9-10 inches (female)","9-15 pounds (male), 8-13 pounds (female)",15,S,19,80%,40%,60%,80%,100%
Croatian Sheepdog,"Loyal, Active, Alert and Intelligent",-,16-20 inches,29-44 pounds,13,M,14,20%,40%,100%,100%,40%
Curly-Coated Retriever,"Confident, Proud, Wickedly Smart",164,"25-27 inches (male), 23-25 inches (female)",60-95 pounds,10,L,12,20%,40%,80%,40%,40%
Czechoslovakian Vlcak,"Loyal, Intelligent, Active",-,Minimum: 23.5-25.5 inches,Minimum: 44-57 pounds,10,M,15,40%,100%,100%,20%,20%
Dachshund,"Friendly, Curious, Spunky",13,"8-9 inches (standard), 5-6 inches (miniature)","16-32 pounds (standard), 11 pounds & under (miniature)",12,S,16,40%,40%,60%,60%,60%
Dalmatian,"Dignified, Smart, Outgoing",62,19-24 inches,45-70 pounds,11,L,13,40%,100%,80%,60%,60%
Dandie Dinmont Terrier,"Independent, Smart, Proud",167,8-11 inches,18-24 pounds,12,S,15,80%,20%,60%,40%,40%
Danish-Swedish Farmdog,"Energetic, Trainable, Attentive",-,12.5-14.5 inches,15-20 pounds,11,S,13,20%,40%,80%,,
Deutscher Wachtelhund,"Friendly, Versatile, Determined",-,18-21 inches,40-55 pounds,-,M,-,40%,,60%,,
Doberman Pinscher,"Loyal, Fearless, Alert",15,"26-28 inches (male), 24-26 inches (female)","75-100 pounds (male), 60-90 pounds (female)",10,L,12,20%,80%,100%,100%,60%
Dogo Argentino,"Friendly, Cheerful, Humble",-,"24-27 inches (male), 23.5-26 inches (female)",80-100 pounds,9,L,15,20%,20%,100%,,
Dogue de Bordeaux,"Affectionate, Loyal, Courageous",63,"23.27 inches (male), 23-26 inches (female)","110 pounds & up (male), 99 pounds & up (female)",5,L,8,20%,80%,60%,60%,60%
Drentsche Patrijshond,"Loyal, Intelligent, Sensitive",-,21-25 inches,48-73 pounds,11,M,14,40%,80%,80%,60%,40%
Drever,"Loyal, Even-Tempered, Determined",-,12-15 inches,35-40 pounds,-,M,15,20%,40%,60%,20%,60%
Dutch Shepherd,"Intelligent, Lively, Athletic",-,21.5-24.5 inches,42-75 pounds,11,M,14,40%,60%,100%,60%,60%
English Cocker Spaniel,"Energetic, Merry, Responsive",56,"16-17 inches (male), 15-16 inches (female)","28-34 pounds (male), 26-32 pounds (female)",12,M,14,60%,40%,60%,100%,80%
English Foxhound,"Affectionate, Gentle, Sociable",187,24 inches,60-75 pounds,10,L,13,20%,80%,80%,60%,80%
English Setter,"Friendly, Mellow, Merry",102,"25-27 inches (male), 23-25 inches (female)","65-80 pounds (male), 45-55 pounds (female)",12,L,-,60%,80%,80%,80%,80%
English Springer Spaniel,"Friendly, Playful, Obedient",26,"20 inches (male), 19 inches (female)","50 pounds (male), 40 pounds (female)",12,M,14,40%,40%,60%,100%,80%
English Toy Spaniel,"Gentle, Playful, Intelligent",130,9-10 inches,8-14 pounds,10,S,12,60%,60%,60%,40%,60%
Entlebucher Mountain Dog,"Loyal, Smart, Enthusiastic",161,"17-21 inches (male), 16-20 inches (female)","50-65 pounds (male), 40-55 pounds (female)",11,M,13,20%,20%,100%,40%,40%
Estrela Mountain Dog,"Alert, Intelligent, Brave",-,24.5-29 inches,77-132 pounds,10,L,14,40%,60%,40%,,
Eurasier,"Confident, Calm, Family-Oriented",-,19-24 inches,40-70 pounds,12,M,16,60%,60%,60%,60%,40%
Field Spaniel,"Sweet, Fun-Loving, Sensitive",147,"18 inches (male), 17 inches (female)",35-50 pounds,12,M,13,40%,80%,60%,60%,40%
Finnish Lapphund,"Friendly, Alert, Agile",173,"18-21 inches (male), 16-19 inches (female)",33-53 pounds,12,M,15,40%,60%,60%,100%,40%
Finnish Spitz,"Friendly, Good-Natured, Lively",179,"17.5-20 inches (male), 15.5-18 inches (female)","25-33 pounds (male), 20-28 pounds (female)",13,M,15,40%,60%,100%,60%,80%
Flat-Coated Retriever,"Cheerful, Optimistic, Good-Humored",89,"23-24.5 inches (male), 22-23.5 inches (female)",60-70 pounds,8,L,10,40%,80%,100%,100%,80%
French Bulldog,"Adaptable, Playful, Smart",6,11-13 inches,under 28 pounds,10,S,12,20%,80%,40%,60%,60%
French Spaniel,"Gentle, Sociable, Intelligent",-,21.5-24 inches,50-60 pounds,10,M,12,,,,,
German Longhaired Pointer,"Versatile, Calm, Family-Oriented",-,22-28 inches,55-80 pounds,12,M,14,20%,,80%,100%,80%
German Pinscher,"Courageous, Intelligent, Vivacious",146,17-20 inches,25-45 pounds,12,M,14,20%,40%,100%,60%,60%
German Shepherd Dog,"Confident, Courageous, Smart",2,"24-26 inches (male), 22-24 inches (female)","65-90 pounds (male), 50-70 pounds (female)",7,L,10,40%,80%,60%,100%,60%
German Shorthaired Pointer,"Friendly, Smart, Willing to Please",11,"23-25 inches (male), 21-23 inches (female)","55-70 pounds (male), 45-60 pounds (female)",10,L,12,40%,80%,100%,100%,80%
German Spitz,"Devoted, Lively, Attentive",-,12-15 inches,24-26 pounds,13,M,15,60%,60%,60%,100%,40%
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic",64,"24-26 inches (male), minimum 22 inches (female)",50-70 pounds,14,M,16,40%,80%,100%,100%,40%
Giant Schnauzer,"Loyal, Alert, Trainable",79,"25.5-27.5 inches (male), 23.5-25.5 inches (female)","60-85 pounds (male), 55-75 pounds (female)",12,L,15,80%,,100%,80%,60%
Glen of Imaal Terrier,"Gentle, Spirited, Bold",180,12.5-14 inches,32-40 pounds,10,M,15,60%,40%,60%,40%,60%
Golden Retriever,"Friendly, Intelligent, Devoted",3,"23-24 inches (male), 21.5-22.5 inches (female)","65-75 pounds (male), 55-65 pounds (female)",10,L,12,40%,60%,100%,100%,80%
Gordon Setter,"Affectionate, Confident, Bold",104,"24-27 inches (male), 23-26 inches (female)","55-80 pounds (male), 45-70 pounds (female)",12,L,13,40%,60%,100%,40%,40%
Grand Basset Griffon Vend챕en,"Alert, Happy, Vivacious",148,13-15 inches,25-40 pounds,14,M,16,40%,60%,100%,,
Great Dane,"Friendly, Patient, Dependable",14,"30-32 inches (male), 28-30 inches (female)","140-175 pounds (male), 110-140 pounds (female)",7,L,10,20%,60%,80%,60%,60%
Great Pyrenees,"Smart, Patient, Calm",67,"27-32 inches (male), 25-29 inches (female)","100 pounds & up (male), 85 pounds & up (female)",10,L,12,40%,60%,100%,40%,40%
Greater Swiss Mountain Dog,"Faithful, Family-Oriented, Dependable",78,"25.5-28.5 inches (male), 23.7-27 inches (female)","115-140 pounds (male), 85-110 pounds (female)",8,L,11,40%,60%,80%,60%,60%
Greyhound,"Gentle, Independent, Noble",151,"28-30 inches (male), 27-28 inches (female)","65-70 pounds (male), 60-65 pounds (female)",10,L,13,20%,40%,80%,40%,80%
Hamiltonstovare,"Agile, Versatile, Regal",-,19-24 inches,40-75 pounds,14,M,17,20%,20%,80%,60%,80%
Hanoverian Scenthound,"Loyal, Independent, Calm",-,19-21 inches,79-99 pounds,10,L,14,20%,20%,60%,40%,40%
Harrier,"Friendly, Outgoing, People-Oriented",186,19-21 inches,45-60 pounds,12,M,15,40%,40%,100%,80%,80%
Havanese,"Intelligent, Outgoing, Funny",23,8.5-11.5 inches,7-13 pounds,14,S,16,60%,40%,60%,80%,100%
Hokkaido,"Dignified, Alert, Devoted",-,18-20 inches,44-66 pounds,12,M,15,40%,60%,80%,,
Hovawart,"Alert, Faithful, Intelligent",-,23-28 inches,65-90 pounds,10,L,14,20%,60%,60%,20%,40%
Ibizan Hound,"Family-Oriented, Even-Tempered, Polite",152,"23.5-27.5 inches (male), 22.5-26 inches (female)","50 pounds (male), 45 pounds (female)",11,M,14,20%,40%,100%,40%,40%
Icelandic Sheepdog,"Friendly, Playful, Inquisitive",153,"18 inches (male), 16.5 inches (female)","30 pounds (male), 25 pounds (female)",12,M,14,40%,60%,80%,100%,80%
Irish Red and White Setter,"Courageous, Spirited, Determined",142,"24.5-26 inches (male), 22.5-24 inches (female)","42-60 pounds (male), 35-50 pounds (female)",11,M,15,40%,,100%,80%,80%
Irish Setter,"Active, Outgoing, Sweet-Natured",76,"27 inches (male), 25 inches (female)","70 pounds (male), 60 pounds (female)",12,L,15,60%,,100%,60%,100%
Irish Terrier,"Bold, Dashing, Tenderhearted",115,18 inches,"27 pounds (male), 25 pounds (female)",13,M,15,20%,,60%,60%,60%
Irish Water Spaniel,"Playful, Hardworking, Brave",150,"22-24 inches (male), 21-23 inches (female)","55-68 pounds (male), 45-58 pounds (female)",12,M,13,40%,,100%,80%,40%
Irish Wolfhound,"Courageous, Dignified, Calm",73,"32 inches minimum (male), 30 inches minimum (female)","120 pounds (male), 105 pounds (female)",6,L,8,40%,60%,60%,40%,60%
Italian Greyhound,"Playful, Alert, Sensitive",72,13-15 inches,7-14 pounds,14,S,15,20%,60%,60%,40%,20%
Jagdterrier,"Courageous, Intelligent, Hardworking",-,13-16 inches,17-22 pounds,10,S,12,,,,,
Japanese Chin,"Charming, Noble, Loving",108,8-11 inches,7-11 pounds,10,S,12,40%,60%,60%,40%,40%
Jindo,"Alert, Intelligent, Bold",-,18-22 inches,30-50 pounds,-,M,14,40%,60%,80%,40%,40%
Kai Ken,"Loyal, Agile, Keen",-,15.5-19.5 inches,20-40 pounds,12,M,15,20%,60%,80%,40%,40%
Karelian Bear Dog,"Loyal, Independent, Courageous",-,19-23.5 inches,44-49 pounds,11,M,13,20%,,40%,,
Keeshond,"Friendly, Lively, Outgoing",92,"18 inches (male), 17 inches (female)",35-45 pounds,12,M,15,60%,60%,60%,80%,80%
Kerry Blue Terrier,"Smart, Alert, People-Oriented",127,"18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12,M,15,60%,,60%,20%,60%
Kishu Ken,"Faithful, Noble, Docile",-,17-22 inches,30-60 pounds,11,M,13,20%,60%,80%,40%,40%
Komondor,"Loyal, Dignified, Brave",177,"27.5 minimum inches (male), 25.5 minimum inches (female)","100 pounds or more (male), 80 pounds or more (female)",10,L,12,100%,,60%,40%,40%
Kromfohrlander,"Intelligent, Active, Sensitive",-,15-18 inches,20-35 pounds,13,M,15,60%,80%,60%,60%,40%
Kuvasz,"Loyal, Fearless, Sweet",165,"28-30 inches (male), 26-28 inches (female)","100-115 pounds (male), 70-90 pounds (female)",10,L,12,40%,,60%,40%,40%
Labrador Retriever,"Friendly, Active, Outgoing",1,"22.5-24.5 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10,L,12,40%,,100%,100%,100%
Lagotto Romagnolo,"Affectionate, Keen, Undemanding",114,"17-19 inches (male), 16-18 inches (female)","28.5-35 pounds (male), 24-31 pounds (female)",15,M,17,,,,,
Lakeland Terrier,"Friendly, Confident, Bold",145,"14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12,S,15,40%,,60%,60%,60%
Lancashire Heeler,"Affectionate, Versatile, Intelligent",-,10-12 inches,9-17 pounds,12,S,15,20%,,80%,80%,80%
Lapponian Herder,"Friendly, Energetic, Intelligent",-,18-20 inches,70 pounds,10,L,14,40%,60%,60%,100%,40%
Leonberger,"Friendly, Gentle, Playful",95,"28-31.5 inches (male), 25.5-29.5 inches (female)","110-170 pounds (male), 90-140 pounds (female)",7,L,-,80%,,60%,100%,80%
Lhasa Apso,"Confident, Smart, Comical",71,"10-11 inches (male), slightly smaller (female)",12-18 pounds,12,S,15,60%,20%,60%,40%,40%
L철wchen,"Affectionate, Outgoing, Positive",171,12-14 inches,15 pounds,13,S,15,40%,40%,60%,60%,100%
Maltese,"Gentle, Playful, Charming",33,7-9 inches,under 7 pounds,12,S,15,80%,20%,60%,60%,100%
Manchester Terrier (Standard),"Spirited, Bright, Keenly Observant",133,15-16 inches,12-22 pounds,15,S,17,40%,40%,60%,80%,60%
Manchester Terrier (Toy),"Agile, Spirited, Intelligent",133,10-12 inches,under 12 pounds,15,S,17,40%,40%,60%,80%,60%
Mastiff,"Courageous, Dignified, Good-Natured",28,"30 inches & up (male), 27.5 inches & up (female)","160-230 pounds (male), 120-170 pounds (female)",6,L,10,20%,,60%,60%,60%
Miniature American Shepherd,"Good-Natured, Intelligent, Devoted",36,"14-18 inches (male), 13-17 inches (female)",20-40 pounds,12,M,13,,,,,
Miniature Bull Terrier,"Upbeat, Mischievous, Comical",120,10-14 inches,18-28 pounds,11,M,13,20%,,80%,40%,60%
Miniature Pinscher,"Fearless, Fun-Loving, Proud",68,10-12.5 inches,8-10 pounds,12,S,16,20%,,60%,40%,60%
Miniature Schnauzer,"Friendly, Smart, Obedient",17,12-14 inches,11-20 pounds,12,S,15,100%,,60%,100%,60%
Mountain Cur,"Intelligent, Strong-Willed, Reserved with Strangers",-,16-26 inches,30-60 pounds,10,M,13,20%,60%,100%,20%,40%
Mudi,"Loyal, Intelligent, Active",-,15-18.5 inches,18-29 pounds,12,M,14,20%,40%,100%,100%,40%
Neapolitan Mastiff,"Loyal, Dignified, Watchful",99,"26-31 inches (male), 24-29 inches (female)","150 pounds (male), 110 pounds (female)",7,L,9,40%,,60%,20%,20%
Nederlandse Kooikerhondje,"Friendly, Alert, Quick",-,15-17 inches (male) 14-16 inches (female),20-24 pounds,12,M,14,20%,60%,60%,,
Newfoundland,"Sweet, Patient, Devoted",35,"28 inches (average male), 26 inches (average female)","130-150 pounds (male), 100-120 pounds (female)",9,L,10,40%,,60%,80%,80%
Norfolk Terrier,"Fearless, Alert, Fun-Loving",134,9-10 inches,11-12 pounds,12,S,16,40%,,60%,60%,80%
Norrbottenspets,"Fearless, Agile, Attentive",-,16.5-18 inches,20-30 pounds,14,M,17,40%,40%,80%,,
Norwegian Buhund,"Confident, Smart, Perceptive",174,"17-18.5 inches (male), 16-17.5 inches (female)","31-40 pounds (male), 26-35 pounds (female)",12,M,15,40%,60%,80%,80%,80%
Norwegian Elkhound,"Friendly, Confident, Dependable",94,"20.5 inches (male), 19.5 inches (female)","55 pounds (male), 48 pounds (female)",12,L,15,40%,40%,60%,60%,80%
Norwegian Lundehund,"Loyal, Energetic, Alert",88,"13-15 inches (male), 12-14 inches (female)",20-30 pounds,12,M,15,40%,60%,60%,60%,40%
Norwich Terrier,"Affectionate, Loyal, Alert, Curious, Gregarious",103,10 inches,12 pounds,12,M,15,40%,,60%,60%,80%
Nova Scotia Duck Tolling Retriever,"Affectionate, Intelligent, Outgoing",87,"18-21 inches (male), 17-20 inches (female)",35-50 pounds,12,L,14,40%,,100%,80%,80%
Old English Sheepdog,"Adaptable, Gentle, Smart",75,"22 inches & up (male), 21 inches & up (female)",60-100 pounds,10,L,12,60%,60%,60%,40%,60%
Otterhound,"Even-Tempered, Amiable, Boisterous",66,"27 inches (male), 24 inches (female)","115 pounds (male), 80 pounds (female)",10,L,13,40%,40%,60%,20%,60%
